Parti;Løftetekst;Generelt;Emner;Kilde;Side;
V;"Derfor vil Venstre …Redusere strømforbruket innenlands med 20 prosent innen 2020.";Ja ; ENERGI, MILJØVERN;PP;12;
KrF;legge til rette for at seniorene kan stå lenger i arbeid;Ja;ARBEIDSLIV;PP;28;
KrF;heve lovens aldersgrense for når medarbeidere kan sies opp på grunn av alder fra 70 til 72 år.;Nei;ARBEIDSLIV;PP;28;
KrF;styrke Senter for seniorpolitikk.;Ja;ARBEIDSLIV;PP;28;
KrF;ha en kritisk gjennomgang av særaldersgrensene.;Ja;ARBEIDSLIV;PP;28;
Frp;yte dagpenger til dem som blir registrert arbeidsledige his NAV;Nei ;ARBEIDSLIV;pp;55;
Frp;justere permitteringsordningene i takt med arbeidsmarkedet ;Ja;ARBEIDSLIV;pp;55;
Frp;arbeide for å hindre misbruk av dagpenger ;Ja;ARBEIDSLIV;pp;55;
Frp;gjennomgå offenglite ytelser slik at de stimulerer til økt arbeidsdeltagelse ;Ja;ARBEIDSLIV;pp;55;
Frp;fornye arbeidsmiljøloven;Nei ;ARBEIDSLIV;pp;55;
Frp;Sørge for ett mer fleksibelt arbeidsmarked;Ja;ARBEIDSLIV;pp;55;?
Frp;åpne for økt bruk ab gradert sykemelding ;Nei ;ARBEIDSLIV;pp;55;
Frp;at man i langt større grad har tar utgangspunkt i den enkeltes arbeidsevne ;Ja;ARBEIDSLIV;pp;55;
Frp;at arbeidsrettede tiltak iverksettes på et langt tidligere tidspunkt;Nei ;ARBEIDSLIV;pp;55;
A;Ha gunstige finansieringsordninger for å dekke behovet for varig tilrettelagte arbeidsplasser. ;Ja;ARBEIDSLIV;PP;13;
A;Styrke den reelle medvirkningen for de ansatte, tillitsvalgte og organisasjonene i arbeidslivet for å sikre arbeidsmiljøet og virksomhetenes utvikling;Ja;ARBEIDSLIV, ARBEIDSMILJØ, NÆRINGSUTVIKLING;PP;11
KrF;innføre bedre permisjonrettigheter for å ta omsorgsarbeid ved sykdom i hjemmet;Ja;ARBEIDSLIV, HELSEVESEN;PP;16
A;Styrke arbeidsmedisinske avdelinger, og øke kapasiteten slik at det kan bli bedre samordning for forebygging og behandling av yrkesrelaterte sykdommer og helseplager.;Ja;ARBEIDSLIV, HELSEVESEN;PP;40
KrF;ta initiativ til en nasjonal holdningskampanje om problematikken arbeid og alkohol. AKAN må styrkes.;Ja;ARBEIDSLIV, RUSMIDLER;PP;23
A;Styrke oppfølgingen av avtalen om inkluderende arbeidsliv (IA-avtalen). ;Ja;ARBEIDSLIV, SYSSELSETTING;PP;12
KrF;legge bedre til rette for å kombinere arbeid og pensjon.;Ja;ARBEIDSLIV, TRYGDER;PP;28
A;Opprettholde arbeidstakernes rettigheter i sykelønnsordningen.;Ja;ARBEIDSLIV, TRYGDER;PP;12
A;Sikre mulighet for kompetanseheving/opplæring;Ja;ARBEIDSLIV, VOKSENOPPLÆRING;PP;13
Frp;at folketrygden skal være et nasjonalt forsikringssystem ;Ja;ARBEIDSLIV,SOSIALVESEN;pp;56
Frp;at pårørende som er i arbeid for rett til tidsbegrenset sykelønn når de pleier sine nærmeste som er alvorlig syke;Nei ;ARBEIDSLIV,SYKDOM;pp;55
Frp;kreve mobilitet hos arbeidssøkere ;Ja;ARBEIDSLIV,SYSSELSETTING;pp;55
Frp;ikke avkorte pensjonsinntekter mot arbeidsinntekt;Nei ;ARBEIDSLIV,TRYGD;pp;57
A;Styrke ansattes rett til vern av personlig integritet i arbeidsforhold.;Ja;ARBEIDSMILJØ;PP;13
A;Skjerpe innsatsen for et godt arbeidsmiljø både nasjonalt og i den enkelte virksomhet.;Ja;ARBEIDSMILJØ;PP;13
A;Styrke Arbeidstilsynet.;Ja;ARBEIDSMILJØ;PP;13
A;Gjennomføre og styrke felleskontroller fra offentlige myndigheter for å forebygge brann, trygdemisbruk, sosial dumping, skatteunndragelser, ulovlig alkoholomsetning og andre straffbare forhold.;Ja;ARBEIDSMILJØ;PP;13
SV;"SV vil at offentlige myndigheter skal slå hardere  ned på sosial dumping, og styrke de ansattes  rettigheter og fagforeningenes makt til å sikre disse på arbeidsplassene.";Ja;ARBEIDSVILKÅR;PP;3
A;Redusere ufrivillig deltidsarbeid i offentlige virksomheter. Gjennom samarbeid med arbeidstakernes organisasjoner arbeide for å finne løsninger som har som mål å avskaffe uønsket deltidsarbeid.;Ja;ARBEIDSVILKÅR;PP;13
A;At staten skal gjennomgå sin ansettelsespolitikk for å redusere bruk av midlertidig ansatte.;Ja;ARBEIDSVILKÅR;PP;13
A;Styrke retten til heltid, og vurdere nye lovendringer for å få til dette.;Ja;ARBEIDSVILKÅR;PP;15
A;Endre arbeidsmiljøloven slik at de som arbeider tredelt turnus får redusert arbeidstid. ;Ja;ARBEIDSVILKÅR;PP;15
A;Arbeide for at deltidssansatte i private og offentlige pensjonskasser får rettferdig pensjon.;Ja;ARBEIDSVILKÅR;PP;15
